	t	x	y
	461	5.55826e+06	18809.1
	462	5.53486e+06	18822.5
	463	5.51149e+06	18834.7
	464	5.48817e+06	18845.9
	465	5.4649e+06	18855.9
	466	5.44167e+06	18864.9
	467	5.4185e+06	18872.8
	468	5.39538e+06	18879.7
	469	5.37232e+06	18885.5
	470	5.34932e+06	18890.3
	471	5.32639e+06	18894
	472	5.30352e+06	18896.8
	473	5.28073e+06	18898.6
	474	5.258e+06	18899.4
	475	5.23535e+06	18899.3
	476	5.21278e+06	18898.2
	477	5.19028e+06	18896.2
	478	5.16787e+06	18893.3
	479	5.14554e+06	18889.5
	480	5.1233e+06	18884.8
	481	5.10114e+06	18879.2
	482	5.07908e+06	18872.8
	483	5.0571e+06	18865.5
	484	5.03522e+06	18857.4
	485	5.01344e+06	18848.5
	486	4.99175e+06	18838.9
	487	4.97016e+06	18828.4
	488	4.94867e+06	18817.1
	489	4.92728e+06	18805.1
	490	4.906e+06	18792.4
	491	4.88482e+06	18778.9
	492	4.86375e+06	18764.7
	493	4.84278e+06	18749.9
	494	4.82192e+06	18734.3
	495	4.80117e+06	18718.1
	496	4.78053e+06	18701.2
	497	4.76e+06	18683.7
	498	4.73959e+06	18665.6
	499	4.71929e+06	18646.8
	500	4.6991e+06	18627.5
	501	4.67903e+06	18607.5
	502	4.65908e+06	18587
	503	4.63924e+06	18565.9
	504	4.61952e+06	18544.3
	505	4.59992e+06	18522.2
	506	4.58044e+06	18499.5
	507	4.56108e+06	18476.3
	508	4.54185e+06	18452.6
	509	4.52273e+06	18428.5
	510	4.50374e+06	18403.8
	511	4.48487e+06	18378.8
	512	4.46612e+06	18353.2
	513	4.4475e+06	18327.3
	514	4.42901e+06	18300.9
	515	4.41064e+06	18274.1
	516	4.39239e+06	18246.9
	517	4.37428e+06	18219.3
	518	4.35628e+06	18191.3
	519	4.33842e+06	18163
	520	4.32069e+06	18134.3
	521	4.30308e+06	18105.3
	522	4.2856e+06	18076
	523	4.26825e+06	18046.3
